task_id,setup,prompt_tokens,completion_tokens,total_tokens,time_to_answer_ms,score,notes
task-01-find-caller,baseline,,,,,,
task-01-find-caller,cursor-memory,,,,,,
task-01-find-caller,anthropic-memorymd,,,,,,
task-01-find-caller,engram,,,,,,
task-02-parent-class,baseline,,,,,,
task-02-parent-class,engram,,,,,,
task-03-file-for-class,baseline,,,,,,
task-03-file-for-class,engram,,,,,,
task-04-import-graph,baseline,,,,,,
task-04-import-graph,engram,,,,,,
task-05-exported-api,baseline,,,,,,
task-05-exported-api,engram,,,,,,
task-06-landmine-check,baseline,,,,,,
task-06-landmine-check,engram,,,,,,
task-07-architecture-sketch,baseline,,,,,,
task-07-architecture-sketch,engram,,,,,,
task-08-refactor-scope,baseline,,,,,,
task-08-refactor-scope,engram,,,,,,
task-09-hot-files,baseline,,,,,,
task-09-hot-files,engram,,,,,,
task-10-cross-file-flow,baseline,,,,,,
task-10-cross-file-flow,engram,,,,,,
